ID,Green,Open/Closed/Fallen,Age(1-4),Damage(0-3),Counted,Day,Comments
PA0998,11,O,1,0,Y,53,
PA0998,11,F,,,,54,
PA0998,11,F,,,,55,
PA0998,11,F,,,,56,
PA0998,11,F,,,,57,
PA0998,11,FR,,,,58,
PA0998,11,FR,,,,59,
PA0998,11,FR,,,,60,
PA0998,11,FR,,,,61,
PA0998,11,F,,,,62,CHECK
PA0998,11,F,,,,63,
PB0174,11,C,NA,0,N,48,
PB0174,11,O,1,0,Y,49,
PB0174,11,O,1,0,Y,50,
PB0174,11,F,NA,NA,NA,51,
PB0174,11,F,,,,52,
PB0174,11,F,,,,53,
PB0174,11,F,,,,54,
PB0174,11,F,,,,55,
PB0174,11,F,,,,56,
PB0174,11,F,,,,57,
PB0174,11,F,,,,58,
PB0174,11,F,,,,59,
PB0174,11,F,,,,60,
PB0174,11,F,,,,61,
PB0174,11,F,,,,62,
PB0174,11,F,,,,63,
PB0424,11,O,1,0,Y,49,
PB0424,11,F,NA,NA,NA,50,
PB0424,11,F,NA,NA,NA,51,
PB0424,11,F,,,,52,
PB0424,11,F,,,,53,
PB0424,11,F,,,,54,
PB0424,11,F,,,,55,
PB0424,11,F,,,,56,
PB0424,11,F,,,,57,
PB0424,11,F,,,,58,
PB0424,11,F,,,,59,
PB0424,11,F,,,,60,
PB0424,11,F,,,,61,
PB0424,11,F,,,,62,
PB0424,11,FR,,,,63,
PB3356,11,C,,,,54,
PB3356,11,C,,,,55,
PB3356,11,O,1,0,Y,56,
PB3356,11,O,1,0,Y,57,
PB3356,11,O,1,0,Y,58,
PB3356,11,F,,,,59,
PB3356,11,F,,,,60,
PB3356,11,F,,,,61,
PB3356,11,FR,,,,62,
PB3356,11,FR,,,,63,
PC0203,11,O,1,0,Y,48,
PC0203,11,O,1,0,Y,49,
PC0203,11,O,1,0,Y,50,
PC0203,11,O,1,0,Y,51,
PC0203,11,F,,,,52,
PC0203,11,F,,,,53,
PC0203,11,F,,,,54,
PC0203,11,F,,,,55,
PC0203,11,F,,,,56,
PC0203,11,FR,,,,57,
PC0203,11,F,,,,58,
PC0203,11,FR,,,,59,
PC0203,11,FR,,,,60,
PC0203,11,FR,,,,61,
PC0203,11,FR,,,,62,
PC0203,11,FR,,,,63,
PB0337,12,O,1,0,Y,48,
PB0337,12,O,1,0,Y,49,
PB0337,12,F,NA,NA,NA,50,
PB0337,12,F,NA,NA,NA,51,
PB0337,12,F,,,,52,
PB0337,12,F,,,,53,
PB0337,12,FR,,,,54,
PB0337,12,FR,,,,55,
PB0337,12,FR,,,,56,
PB0337,12,FR,,,,57,
PB0337,12,FR,,,,58,
PB0337,12,FR,,,,59,
PB0337,12,FR,,,,60,
PB0337,12,FR,,,,61,
PB0337,12,FR,,,,62,
PB0337,12,FR,,,,63,
PB4713,12,O,1,0,Y,48,
PB4713,12,O,1,0,Y,49,
PB4713,12,O,1,0,Y,50,
PB4713,12,O,1,0,Y,51,
PB4713,12,O,1,0,Y,52,
PB4713,12,O,3,1,N,53,
PB4713,12,O,4,0,N,54,
PB4713,12,O,4,0,N,55,MISSING INFO
PB4713,12,O,4,0,N,56,
PB4713,12,FR,,,,57,
PB4713,12,FR,,,,58,
PB4713,12,FR,,,,59,
PB4713,12,FR,,,,60,
PB4713,12,FR,,,,61,
PB4713,12,FR,,,,62,
PB4713,12,FR,,,,63,
PC0178,12,O,1,0,Y,49,
PC0178,12,O,1,0,Y,50,
PC0178,12,F,NA,NA,NA,51,
PC0178,12,F,,,,52,
PC0178,12,F,,,,53,
PC0178,12,F,,,,54,
PC0178,12,F,,,,55,
PC0178,12,F,,,,56,
PC0178,12,F,,,,57,
PC0178,12,D,,,,58,
PC0178,12,F,,,,59,
PC0178,12,F,,,,60,
PC0178,12,F,,,,61,
PC0178,12,F,,,,62,
PC0178,12,F,,,,63,
PC2504,12,C,,,,54,
PC2504,12,C,,,,55,
PC2504,12,O,1,0,y,56,
PC2504,12,O,1,0,Y,57,
PC2504,12,O,1,0,Y,58,
PC2504,12,F,,,,59,
PC2504,12,F,,,,60,
PC2504,12,F,,,,61,
PC2504,12,F,,,,62,
PC2504,12,FR,,,,63,
PB0311,13,O,1,0,Y,54,
PB0311,13,O,2,2,Y,55,
PB0311,13,O,2,0,Y,56,
PB0311,13,O,4,0,N,57,
PB0311,13,O,4,0,N,58,
PB0311,13,O,4,0,N,59,
PB0311,13,O,4,0,N,60,
PB0311,13,O,4,0,N,61,
PB0311,13,O,4,0,N,62,
PB0311,13,FR,,,,63,
PB0385,13,O,1,0,Y,52,
PB0385,13,O,1,0,Y,54,
PB0385,13,O,1,0,Y,55,
PB0385,13,O,1,0,Y,56,
PB0385,13,O,1,0,Y,57,
PB0385,13,O,4,0,N,58,IN CAT NEST
PB0385,13,F,,,,59,EATEN
PB0385,13,F,,,,60,EATEN
PB0385,13,F,,,,61,
PB0385,13,F,,,,62,
PB0385,13,F,,,,63,
PB2595,13,O,1,0,Y,49,
PB2595,13,O,1,0,Y,50,
PB2595,13,O,1,0,Y,51,
PB2595,13,F,,,,52,
PB2595,13,F,,,,53,
PB2595,13,F,,,,54,
PB2595,13,F,,,,55,
PB2595,13,FR,,,,56,
PB2595,13,FR,,,,57,
PB2595,13,FR,,,,58,
PB2595,13,FR,,,,59,
PB2595,13,FR,,,,60,
PB2595,13,FR,,,,61,
PB2595,13,FR,,,,62,
PB2595,13,FR,,,,63,
PB0224,14,C,,,,52,
PB0224,14,O,1,0,Y,53,
PB0224,14,O,1,0,Y,54,
PB0224,14,O,1,0,Y,55,
PB0224,14,F,,,,56,
PB0224,14,F,,,,57,
PB0224,14,F,,,,58,
PB0224,14,F,,,,59,
PB0224,14,F,,,,60,
PB0224,14,F,,,,61,
PB0224,14,F,,,,62,
PB0224,14,F,,,,63,
PB0451,14,C,NA,0,N,48,
PB0451,14,O,1,0,Y,50,
PB0451,14,O,2,0,Y,51,
PB0451,14,O,2,0,Y,52,
PB0451,14,O,3,0,N,53,
PB0451,14,O,4,0,N,54,
PB0451,14,O,4,0,N,55,
PB0451,14,O,4,0,N,56,
PB0451,14,F,,,,57,
PB0451,14,FR,,,,58,
PB0451,14,FR,,,,59,
PB0451,14,FR,,,,60,
PB0451,14,FR,,,,61,
PB0451,14,FR,,,,62,
PB0451,14,FR,,,,63,
PB1834,14,C,,,,54,
PB0193,15,C,,,,54,
PB0193,15,O,1,0,Y,55,
PB0193,15,O,1,0,Y,56,
PB0193,15,O,1,0,Y,57,
PB0193,15,F,,,,58,
PB0193,15,F,,,,59,
PB0193,15,F,,,,60,
PB0193,15,F,,,,61,
PB0193,15,F,,,,62,
PB0193,15,F,,,,63,MISSING INFO
PC0035,15,C,NA,0,N,48,
PC0035,15,O,1,0,Y,49,
PC0035,15,O,1,0,Y,50,
PC0035,15,O,1,0,Y,51,
PC0035,15,O,1,0,Y,52,
PC0035,15,F,,,,53,
PC0035,15,F,,,,54,
PC0035,15,F,,,,55,
PC0035,15,F,,,,56,
PC0035,15,FR,,,,57,
PC0035,15,FR,,,,58,
PC0035,15,FR,,,,59,
PC0035,15,FR,,,,60,
PC0035,15,FR,,,,61,
PC0035,15,FR,,,,62,
PC0035,15,FR,,,,63,
PC0064,15,O,1,0,Y,54,
PC0064,15,F,,,,55,
PC0064,15,F,,,,56,
PC0064,15,F,,,,57,
PC0064,15,FR,,,,58,
PC0064,15,FR,,,,59,
PC0064,15,FR,,,,60,
PC0064,15,FR,,,,61,
PC0064,15,FR,,,,62,
PC0064,15,FR,,,,63,
PC0064,15,O,1,0,Y,52,
PA0341,16,O,1,0,Y,48,
PA0341,16,O,1,0,Y,49,
PA0341,16,F,NA,NA,NA,50,
PA0341,16,F,NA,NA,NA,51,
PA0341,16,F,,,,52,
PA0341,16,F,,,,54,
PA0341,16,FR,,,,55,
PA0341,16,FR,,,,56,
PA0341,16,FR,,,,57,
PA0341,16,FR,,,,58,
PA0341,16,FR,,,,59,
PA0341,16,FR,,,,60,
PA0341,16,FR,,,,61,
PA0341,16,FR,,,,62,
PA0341,16,FR,,,,63,
PB0435,16,C,NA,0,N,48,
PB0435,16,O,1,0,Y,49,
PB0435,16,O,1,0,Y,50,
PB0435,16,F,NA,NA,NA,51,
PB0435,16,F,,,,52,
PB0435,16,F,,,,53,
PB0435,16,F,,,,54,
PB0435,16,F,,,,55,
PB0435,16,FR,,,,56,
PB0435,16,FR,,,,57,
PB0435,16,FR,,,,58,
PB0435,16,FR,,,,59,
PB0435,16,FR,,,,60,
PB0435,16,FR,,,,61,
PB0435,16,FR,,,,62,
PB0435,16,FR,,,,63,
PB0738,16,O,1,0,Y,54,
PB0738,16,O,1,0,Y,56,
PB0738,16,O,1,0,Y,57,
PB0738,16,F,,,,58,
PB0738,16,F,,,,59,
PB0738,16,F,,,,60,
PB0738,16,F,,,,61,
PB0738,16,F,,,,62,
PB0738,16,F,,,,63,
PA0998,17,O,1,0,Y,49,
PA0998,17,O,1,0,Y,50,
PA0998,17,F,NA,NA,NA,51,
PA0998,17,F,,,,52,
PA0998,17,F,,,,53,
PA0998,17,F,,,,54,
PA0998,17,F,,,,55,
PA0998,17,F,,,,56,
PA0998,17,FR,,,,57,
PA0998,17,FR,,,,58,
PA0998,17,FR,,,,59,
PA0998,17,FR,,,,60,
PA0998,17,FR,,,,61,
PA0998,17,FR,,,,62,
PA0998,17,FR,,,,63,
PC0064,17,O,1,0,Y,54,
PC0064,17,O,1,0,Y,55,
PC0064,17,O,1,0,Y,56,
PC0064,17,F,,,,57,
PC0064,17,F,,,,58,
PC0064,17,FR,,,,59,
PC0064,17,FR,,,,60,
PC0064,17,FR,,,,61,
PC0064,17,FR,,,,62,
PC0064,17,FR,,,,63,
PC2505,17,O,1,0,Y,50,
PC2505,17,O,1,0,Y,51,
PC2505,17,O,1,0,Y,52,
PC2505,17,F,,,,53,
PC2505,17,F,,,,54,
PC2505,17,F,,,,55,
PC2505,17,F,,,,56,
PC2505,17,FR,,,,57,
PC2505,17,FR,,,,58,
PC2505,17,FR,,,,59,
PC2505,17,FR,,,,60,
PC2505,17,FR,,,,61,
PC2505,17,FR,,,,62,
PC2505,17,FR,,,,63,
PB0392,18,C,,,,54,
PB0392,18,O,1,0,Y,55,
PB0392,18,O,1,0,Y,56,
PB0392,18,O,1,0,Y,57,
PB0392,18,O,1,0,Y,58,
PB0392,18,F,,,,59,
PB0392,18,F,,,,60,
PB0392,18,F,,,,61,
PB0392,18,F,,,,62,
PB0392,18,F,,,,63,
PB0761,18,O,1,0,Y,48,
PB0761,18,O,1,0,Y,49,
PB0761,18,F,NA,NA,NA,50,
PB0761,18,F,NA,NA,NA,51,
PB0761,18,F,,,,52,
PB0761,18,F,,,,53,
PB0761,18,F,,,,54,
PB0761,18,F,,,,55,
PB0761,18,F,,,,56,
PB0761,18,F,,,,57,
PB0761,18,F,,,,58,
PB0761,18,F,,,,59,
PB0761,18,F,,,,60,
PB0761,18,F,,,,61,
PB0761,18,F,,,,62,
PB0761,18,F,,,,63,
PC0211,18,O,1,0,Y,48,
PC0211,18,O,1,0,Y,49,
PC0211,18,O,1,0,Y,50,
PC0211,18,F,NA,NA,NA,51,
PC0211,18,F,,,,52,
PC0211,18,F,,,,53,
PC0211,18,F,,,,54,
PC0211,18,F,,,,55,
PC0211,18,F,,,,56,
PC0211,18,F,,,,57,
PC0211,18,F,,,,58,
PC0211,18,F,,,,59,
PC0211,18,F,,,,60,
PC0211,18,F,,,,61,
PC0211,18,F,,,,62,
PC0211,18,F,,,,63,
PB0392,19,C,,,,54,
PB0392,19,O,1,0,Y,55,
PB0392,19,O,1,0,Y,56,
PB0392,19,O,1,0,Y,57,
PB0392,19,O,1,1,Y,58,
PB0392,19,O,1,0,Y,59,
PB0392,19,O,2,0,Y,60,
PB0392,19,O,4,0,N,61,
PB0392,19,F,,,,62,
PB0392,19,F,,,,63,
PC0214,19,C,NA,0,N,48,
PC0214,19,O,1,1,Y,49,
PC0214,19,O,1,1,Y,50,
PC0214,19,F,NA,NA,NA,51,
PC0214,19,F,,,,52,
PC0214,19,F,,,,53,
PC0214,19,F,,,,54,
PC0214,19,F,,,,55,
PC0214,19,FR,,,,56,
PC0214,19,FR,,,,57,
PC0214,19,FR,,,,58,
PC0214,19,FR,,,,59,
PC0214,19,FR,,,,60,
PC0214,19,FR,,,,61,
PC0214,19,FR,,,,62,
PC0214,19,FR,,,,63,
PC0229,19,O,1,0,Y,48,
PC0229,19,O,1,0,Y,49,MINI FLOWER DEFORMED
PC0229,19,F,NA,NA,NA,50,
PC0229,19,F,NA,NA,NA,51,
PC0229,19,F,,,,52,
PC0229,19,F,,,,53,
PC0229,19,F,,,,54,
PC0229,19,F,,,,55,
PC0229,19,F,,,,56,
PC0229,19,F,,,,57,
PC0229,19,F,,,,58,
PC0229,19,F,,,,59,
PC0229,19,F,,,,60,
PC0229,19,F,,,,61,
PC0229,19,F,,,,62,
PC0229,19,F,,,,63,
PB4296,20,C,,,,54,
PB4296,20,O,1,0,Y,55,
PB4296,20,O,1,0,Y,56,
PB4296,20,O,2,0,Y,57,
PB4296,20,O,4,0,N,58,
PB4296,20,O,4,0,N,59,
PB4296,20,O,4,0,N,60,
PB4296,20,F,,,,61,
PB4296,20,F,,,,62,
PB4296,20,F,,,,63,
PC0236,20,O,1,0,Y,48,
PC0236,20,O,1,0,Y,49,
PC0236,20,O,1,0,Y,50,
PC0236,20,F,NA,NA,NA,51,
PC0236,20,F,,,,52,
PC0236,20,F,,,,53,
PC0236,20,F,,,,54,
PC0236,20,F,,,,55,
PC0236,20,F,,,,56,
PC0236,20,F,,,,57,
PC0236,20,F,,,,58,
PC0236,20,F,,,,59,
PC0236,20,F,,,,60,
PC0236,20,F,,,,61,
PC0236,20,F,,,,62,
PC0236,20,F,,,,63,
PB0016,21,O,1,0,Y,48,
PB0016,21,O,1,0,Y,49,
PB0016,21,O,1,0,Y,50,
PB0016,21,F,NA,NA,NA,51,
PB0016,21,F,,,,52,
PB0016,21,F,,,,53,
PB0016,21,F,,,,54,
PB0016,21,F,,,,55,
PB0016,21,F,,,,56,
PB0016,21,F,,,,57,
PB0016,21,F,,,,58,
PB0016,21,F,,,,59,
PB0016,21,F,,,,60,
PB0016,21,F,,,,61,
PB0016,21,F,,,,62,
PB0016,21,F,,,,63,
PC0294,21,C,,,,54,
PC0294,21,C,,,,55,
PC0294,21,O,1,0,Y,56,
PC0294,21,O,1,0,Y,57,
PC0294,21,O,1,0,Y,58,
PC0294,21,O,2,0,Y,59,
